url_vieja,url_nueva,campo,valor_viejo,valor_nuevo,severidad
/author/federico-sendra,/author/federico-sendra,description,"Unlock the future of technology with SpaceDev. We specialize in cutting-edge software development, AI integration, blockchain solutions, and more. Discover how we can elevate your business.",Federico co-founded SpaceDev to bring startup agility to enterprise-grade engineering. He's spent the last decade helping Web2 and Web3 teams ship products,REVIEW
/author/federico-sendra,/author/federico-sendra,canonical,https://spacedev.io/author/federico-sendra,https://spacedev.io/author/federico-sendra/,INFO
/author/federico-sendra,/author/federico-sendra,og:title,SpaceDev,Federico Sendra | CEO & Co-founder at SpaceDev,WARN
/author/federico-sendra,/author/federico-sendra,og:description,"Unlock the future of technology with SpaceDev. We specialize in cutting-edge software development, AI integration, blockchain solutions, and more. Discover how we can elevate your business.",Federico co-founded SpaceDev to bring startup agility to enterprise-grade engineering. He's spent the last decade helping Web2 and Web3 teams ship products,WARN
/author/federico-sendra,/author/federico-sendra,og:image,https://framerusercontent.com/images/G6FrxHO2dL9IcgUw5RwkUELN6g.png,https://spacedev.io/images/og-default.png,WARN
/author/federico-sendra,/author/federico-sendra,h1,(ausente),Federico Sendra,WARN
/author/juan-manuel-sobral,/author/juan-manuel-sobral,title,SpaceDev,Juan Manuel Sobral | CTO & Co-founder at SpaceDev,REVIEW
/author/juan-manuel-sobral,/author/juan-manuel-sobral,description,"Unlock the future of technology with SpaceDev. We specialize in cutting-edge software development, AI integration, blockchain solutions, and more. Discover how we can elevate your business.","Juan Manuel leads the technical vision at SpaceDev with deep expertise in smart contracts, decentralized protocols, and scalable backend systems. He's a fr",REVIEW
/author/juan-manuel-sobral,/author/juan-manuel-sobral,canonical,https://spacedev.io/author/juan-manuel-sobral,https://spacedev.io/author/juan-manuel-sobral/,INFO
/author/juan-manuel-sobral,/author/juan-manuel-sobral,og:title,SpaceDev,Juan Manuel Sobral | CTO & Co-founder at SpaceDev,WARN
/author/juan-manuel-sobral,/author/juan-manuel-sobral,og:description,"Unlock the future of technology with SpaceDev. We specialize in cutting-edge software development, AI integration, blockchain solutions, and more. Discover how we can elevate your business.","Juan Manuel leads the technical vision at SpaceDev with deep expertise in smart contracts, decentralized protocols, and scalable backend systems. He's a fr",WARN
/author/juan-manuel-sobral,/author/juan-manuel-sobral,og:image,https://framerusercontent.com/images/G6FrxHO2dL9IcgUw5RwkUELN6g.png,https://spacedev.io/images/og-default.png,WARN
/author/juan-manuel-sobral,/author/juan-manuel-sobral,h1,(ausente),Juan Manuel Sobral,WARN
/blockaudit-smart-contract-and-blockchain-security,/blockaudit-smart-contract-and-blockchain-security,description,"Security is vital. Our expert smart contract audit ensures safe deployment, monitoring upgrade and management of Ethereum applications for startups and enterprises.","Smart contract audit and blockchain security services: static and manual analysis, formal verification, and post-launch monitoring. Secure your Web3 project.",REVIEW
/blockaudit-smart-contract-and-blockchain-security,/blockaudit-smart-contract-and-blockchain-security,canonical,https://spacedev.io/blockaudit-smart-contract-and-blockchain-security,https://spacedev.io/blockaudit-smart-contract-and-blockchain-security/,INFO
/blockaudit-smart-contract-and-blockchain-security,/blockaudit-smart-contract-and-blockchain-security,og:description,"Security is vital. Our expert smart contract audit ensures safe deployment, monitoring upgrade and management of Ethereum applications for startups and enterprises.","Smart contract audit and blockchain security services: static and manual analysis, formal verification, and post-launch monitoring. Secure your Web3 project.",WARN
/blockaudit-smart-contract-and-blockchain-security,/blockaudit-smart-contract-and-blockchain-security,og:image,https://framerusercontent.com/assets/b3AOnqyGGgTl8jm8scRPoJgQ.svg,https://spacedev.io/images/og-default.png,WARN
/blockchain-development-services,/blockchain-development-services,title,Blockchain Development Services for Scalable Solutions,Blockchain Development Services for Web3 & Enterprises,REVIEW
/blockchain-development-services,/blockchain-development-services,description,"SpaceDev delivers end-to-end blockchain development services. We combine technical research, consulting, and app development to create transparent and efficient business solutions.","Custom blockchain development services from concept to mainnet: Web3 engineering, product strategy, and embedded security. Build with SpaceDev's expert team.",REVIEW
/blockchain-development-services,/blockchain-development-services,canonical,https://spacedev.io/blockchain-development-services,https://spacedev.io/blockchain-development-services/,INFO
/blockchain-development-services,/blockchain-development-services,og:title,Blockchain Development Services for Scalable Solutions,Blockchain Development Services for Web3 & Enterprises,WARN
/blockchain-development-services,/blockchain-development-services,og:description,"SpaceDev delivers end-to-end blockchain development services. We combine technical research, consulting, and app development to create transparent and efficient business solutions.","Custom blockchain development services from concept to mainnet: Web3 engineering, product strategy, and embedded security. Build with SpaceDev's expert team.",WARN
/blockchain-development-services,/blockchain-development-services,og:image,https://framerusercontent.com/assets/b3AOnqyGGgTl8jm8scRPoJgQ.svg,https://spacedev.io/images/og-default.png,WARN
/blockchain-development-services,/blockchain-development-services,h1,Advanced Blockchain Development Services,Blockchain Development Services Built for Real Business Outcomes,WARN
/blockchain-development-services/asset-tokenization,/blockchain-development-services/asset-tokenization,title,Asset Tokenization Platform Development for Real World Assets,Asset Tokenization Development Services for Web3 Projects,REVIEW
/blockchain-development-services/asset-tokenization,/blockchain-development-services/asset-tokenization,description,"SpaceDev delivers end-to-end blockchain development services. We combine technical research, consulting, and app development to create transparent and efficient business solutions.","Tokenize real-world assets: real estate, commodities, securities, and fixed income. Issuance, lifecycle, custody, and secondary markets, end to end.",REVIEW
/blockchain-development-services/asset-tokenization,/blockchain-development-services/asset-tokenization,canonical,https://spacedev.io/blockchain-development-services/asset-tokenization,https://spacedev.io/blockchain-development-services/asset-tokenization/,INFO
/blockchain-development-services/asset-tokenization,/blockchain-development-services/asset-tokenization,og:title,Asset Tokenization Platform Development for Real World Assets,Asset Tokenization Development Services for Web3 Projects,WARN
/blockchain-development-services/asset-tokenization,/blockchain-development-services/asset-tokenization,og:description,"SpaceDev delivers end-to-end blockchain development services. We combine technical research, consulting, and app development to create transparent and efficient business solutions.","Tokenize real-world assets: real estate, commodities, securities, and fixed income. Issuance, lifecycle, custody, and secondary markets, end to end.",WARN
/blockchain-development-services/asset-tokenization,/blockchain-development-services/asset-tokenization,og:image,https://framerusercontent.com/assets/b3AOnqyGGgTl8jm8scRPoJgQ.svg,https://spacedev.io/images/og-default.png,WARN
/blockchain-development-services/blockchain-for-banks,/blockchain-development-services/blockchain-for-banks,title,DApp Development Services - Custom Blockchain & Web3 DApps,Blockchain Development for Banks & Financial Institutions,REVIEW
/blockchain-development-services/blockchain-for-banks,/blockchain-development-services/blockchain-for-banks,description,"SpaceDev delivers end-to-end blockchain development services. We combine technical research, consulting, and app development to create transparent and efficient business solutions.","Compliant blockchain and tokenization solutions for banks, fintechs, and asset managers. Programmable money, settlement, and digital asset custody.",REVIEW
/blockchain-development-services/blockchain-for-banks,/blockchain-development-services/blockchain-for-banks,canonical,https://spacedev.io/blockchain-development-services/blockchain-for-banks,https://spacedev.io/blockchain-development-services/blockchain-for-banks/,INFO
/blockchain-development-services/blockchain-for-banks,/blockchain-development-services/blockchain-for-banks,og:title,DApp Development Services - Custom Blockchain & Web3 DApps,Blockchain Development for Banks & Financial Institutions,WARN
/blockchain-development-services/blockchain-for-banks,/blockchain-development-services/blockchain-for-banks,og:description,"SpaceDev delivers end-to-end blockchain development services. We combine technical research, consulting, and app development to create transparent and efficient business solutions.","Compliant blockchain and tokenization solutions for banks, fintechs, and asset managers. Programmable money, settlement, and digital asset custody.",WARN
/blockchain-development-services/blockchain-for-banks,/blockchain-development-services/blockchain-for-banks,og:image,https://framerusercontent.com/assets/b3AOnqyGGgTl8jm8scRPoJgQ.svg,https://spacedev.io/images/og-default.png,WARN
/blockchain-development-services/blockchain-partner,/blockchain-development-services/blockchain-partner,title,"Blockchain Partner for Agencies: Strategy, Infrastructure and Support",White-Label Blockchain Solutions for Agencies & Resellers,REVIEW
/blockchain-development-services/blockchain-partner,/blockchain-development-services/blockchain-partner,description,"SpaceDev delivers end-to-end blockchain development services. We combine technical research, consulting, and app development to create transparent and efficient business solutions.","Partner with SpaceDev for white-label blockchain development. Expand your agency's offering, protect your margins, and ship Web3 projects with confidence.",REVIEW
/blockchain-development-services/blockchain-partner,/blockchain-development-services/blockchain-partner,canonical,https://spacedev.io/blockchain-development-services/blockchain-partner,https://spacedev.io/blockchain-development-services/blockchain-partner/,INFO
/blockchain-development-services/blockchain-partner,/blockchain-development-services/blockchain-partner,og:title,"Blockchain Partner for Agencies: Strategy, Infrastructure and Support",White-Label Blockchain Solutions for Agencies & Resellers,WARN
/blockchain-development-services/blockchain-partner,/blockchain-development-services/blockchain-partner,og:description,"SpaceDev delivers end-to-end blockchain development services. We combine technical research, consulting, and app development to create transparent and efficient business solutions.","Partner with SpaceDev for white-label blockchain development. Expand your agency's offering, protect your margins, and ship Web3 projects with confidence.",WARN
/blockchain-development-services/blockchain-partner,/blockchain-development-services/blockchain-partner,og:image,https://framerusercontent.com/assets/b3AOnqyGGgTl8jm8scRPoJgQ.svg,https://spacedev.io/images/og-default.png,WARN
/blockchain-development-services/blockchain-partner,/blockchain-development-services/blockchain-partner,h1,A Blockchain Partner for agencies,A Blockchain Partner for Agencies,INFO
/blockchain-development-services/dapp-development,/blockchain-development-services/dapp-development,title,DApp Development Services - Custom Blockchain & Web3 DApps,Custom dApp Development Services for Web3 & Enterprises,REVIEW
/blockchain-development-services/dapp-development,/blockchain-development-services/dapp-development,description,"SpaceDev delivers end-to-end blockchain development services. We combine technical research, consulting, and app development to create transparent and efficient business solutions.","Custom decentralized application development for Web3. SpaceDev designs, builds, and scales secure, production-ready dApps aligned with your business goals.",REVIEW
/blockchain-development-services/dapp-development,/blockchain-development-services/dapp-development,canonical,https://spacedev.io/blockchain-development-services/dapp-development,https://spacedev.io/blockchain-development-services/dapp-development/,INFO
/blockchain-development-services/dapp-development,/blockchain-development-services/dapp-development,og:title,DApp Development Services - Custom Blockchain & Web3 DApps,Custom dApp Development Services for Web3 & Enterprises,WARN
/blockchain-development-services/dapp-development,/blockchain-development-services/dapp-development,og:description,"SpaceDev delivers end-to-end blockchain development services. We combine technical research, consulting, and app development to create transparent and efficient business solutions.","Custom decentralized application development for Web3. SpaceDev designs, builds, and scales secure, production-ready dApps aligned with your business goals.",WARN
/blockchain-development-services/dapp-development,/blockchain-development-services/dapp-development,og:image,https://framerusercontent.com/assets/b3AOnqyGGgTl8jm8scRPoJgQ.svg,https://spacedev.io/images/og-default.png,WARN
/blockchain-development-services/smart-contract-development,/blockchain-development-services/smart-contract-development,title,Smart Contract Development Company - Secure Blockchain Experts,"Smart Contract Development, Audit-Ready & Production-Grade",REVIEW
/blockchain-development-services/smart-contract-development,/blockchain-development-services/smart-contract-development,description,"SpaceDev delivers end-to-end blockchain development services. We combine technical research, consulting, and app development to create transparent and efficient business solutions.","Audited, gas-optimized smart contracts on Ethereum, Aptos, Solana and other ecosystems. From token standards to complex DeFi protocols.",REVIEW
/blockchain-development-services/smart-contract-development,/blockchain-development-services/smart-contract-development,canonical,https://spacedev.io/blockchain-development-services/smart-contract-development,https://spacedev.io/blockchain-development-services/smart-contract-development/,INFO
/blockchain-development-services/smart-contract-development,/blockchain-development-services/smart-contract-development,og:title,Smart Contract Development Company - Secure Blockchain Experts,"Smart Contract Development, Audit-Ready & Production-Grade",WARN
/blockchain-development-services/smart-contract-development,/blockchain-development-services/smart-contract-development,og:description,"SpaceDev delivers end-to-end blockchain development services. We combine technical research, consulting, and app development to create transparent and efficient business solutions.","Audited, gas-optimized smart contracts on Ethereum, Aptos, Solana and other ecosystems. From token standards to complex DeFi protocols.",WARN
/blockchain-development-services/smart-contract-development,/blockchain-development-services/smart-contract-development,og:image,https://framerusercontent.com/assets/b3AOnqyGGgTl8jm8scRPoJgQ.svg,https://spacedev.io/images/og-default.png,WARN
/blockchain-development-services/smart-contract-development,/blockchain-development-services/smart-contract-development,h1,DApp Development Services,Smart Contract Development,WARN
/blog,/blog,title,Blog SpaceDev | SpaceDev,"Web3, Blockchain & Software Insights | SpaceDev Blog",REVIEW
/blog,/blog,description,"Dive into the SpaceDev blog for insights on AI, blockchain, and software development. Stay updated with expert articles, industry trends, and tech news.","Practical articles from the SpaceDev engineering team: blockchain trends, smart contract security, product discovery, and the technologies shaping Web3.",REVIEW
/blog,/blog,canonical,https://spacedev.io/blog,https://spacedev.io/blog/,INFO
/blog,/blog,og:title,Blog SpaceDev | SpaceDev,"Web3, Blockchain & Software Insights | SpaceDev Blog",WARN
/blog,/blog,og:description,"Dive into the SpaceDev blog for insights on AI, blockchain, and software development. Stay updated with expert articles, industry trends, and tech news.","Practical articles from the SpaceDev engineering team: blockchain trends, smart contract security, product discovery, and the technologies shaping Web3.",WARN
/blog,/blog,og:image,https://framerusercontent.com/assets/KD9R4h94YxLSpWDK8gSxftGd7U.svg,https://spacedev.io/images/og-default.png,WARN
/blog,/blog,h1,Space Blog!,Practical articles from the engineering floor,WARN
/careers,/careers,title,Careers | SpaceDev,Careers at SpaceDev | Join Our Remote Engineering Team,REVIEW
/careers,/careers,description,"Join our team and shape the future of technology. Explore opportunities and be part of a dynamic, innovative group driving change.","Join SpaceDev, a top-5 Clutch blockchain company. Open remote roles in Web3, full-stack, and mobile engineering with global mentorship and benefits.",REVIEW
/careers,/careers,canonical,https://spacedev.io/careers,https://spacedev.io/careers/,INFO
/careers,/careers,og:title,Careers | SpaceDev,Careers at SpaceDev | Join Our Remote Engineering Team,WARN
/careers,/careers,og:description,"Join our team and shape the future of technology. Explore opportunities and be part of a dynamic, innovative group driving change.","Join SpaceDev, a top-5 Clutch blockchain company. Open remote roles in Web3, full-stack, and mobile engineering with global mentorship and benefits.",WARN
/careers,/careers,og:image,https://framerusercontent.com/assets/KD9R4h94YxLSpWDK8gSxftGd7U.svg,https://spacedev.io/images/og-default.png,WARN
/case-study/acme,/case-study/acme,title,ACME,ACME: Web3 Loyalty Points Platform Built on Blockchain,REVIEW
/case-study/acme,/case-study/acme,description,Turn loyalty points into currency with just a tap!,"SpaceDev upgraded ACME's Web3 loyalty platform with multi-chain blockchain development, enabling one-tap crypto payments, NFTs, and smart contracts.",REVIEW
/case-study/acme,/case-study/acme,canonical,https://spacedev.io/case-study/acme,https://spacedev.io/case-study/acme/,INFO
/case-study/acme,/case-study/acme,og:title,ACME,ACME: Web3 Loyalty Points Platform Built on Blockchain,WARN
/case-study/acme,/case-study/acme,og:description,Turn loyalty points into currency with just a tap!,"SpaceDev upgraded ACME's Web3 loyalty platform with multi-chain blockchain development, enabling one-tap crypto payments, NFTs, and smart contracts.",WARN
/case-study/acme,/case-study/acme,og:image,https://framerusercontent.com/images/G6FrxHO2dL9IcgUw5RwkUELN6g.png,https://spacedev.io/images/case-studies/acme/acme_.png,WARN
/case-study/apebond,/case-study/apebond,title,ApeBond,ApeBond: Solana DeFi Development & Protocol Integration,REVIEW
/case-study/apebond,/case-study/apebond,description,On-Chain OTC Marketplace. The best way to buy and sell tokens.,"SpaceDev expanded ApeBond's on-chain OTC marketplace to Solana, building a Rust program, TypeScript SDK, and cross-chain DeFi frontend with audit support.",REVIEW
/case-study/apebond,/case-study/apebond,canonical,https://spacedev.io/case-study/apebond,https://spacedev.io/case-study/apebond/,INFO
/case-study/apebond,/case-study/apebond,og:title,ApeBond,ApeBond: Solana DeFi Development & Protocol Integration,WARN
/case-study/apebond,/case-study/apebond,og:description,On-Chain OTC Marketplace. The best way to buy and sell tokens.,"SpaceDev expanded ApeBond's on-chain OTC marketplace to Solana, building a Rust program, TypeScript SDK, and cross-chain DeFi frontend with audit support.",WARN
/case-study/apebond,/case-study/apebond,og:image,https://framerusercontent.com/images/G6FrxHO2dL9IcgUw5RwkUELN6g.png,https://spacedev.io/images/case-studies/apebond/apebond_.png,WARN
/case-study/athleteai,/case-study/athleteai,title,AthleteAI,AthleteAI: AI-Powered Sports Highlights App Development,REVIEW
/case-study/athleteai,/case-study/athleteai,description,"Capture, create, and share basketball highlights to get noticed worldwide. Perfect for players, coaches, parents, and fans!","SpaceDev built AthleteAI's iOS app in four months: React Native video capture, highlight reels, and Mux streaming, used at live basketball tournaments.",REVIEW
/case-study/athleteai,/case-study/athleteai,canonical,https://spacedev.io/case-study/athleteai,https://spacedev.io/case-study/athleteai/,INFO
/case-study/athleteai,/case-study/athleteai,og:title,AthleteAI,AthleteAI: AI-Powered Sports Highlights App Development,WARN
/case-study/athleteai,/case-study/athleteai,og:description,"Capture, create, and share basketball highlights to get noticed worldwide. Perfect for players, coaches, parents, and fans!","SpaceDev built AthleteAI's iOS app in four months: React Native video capture, highlight reels, and Mux streaming, used at live basketball tournaments.",WARN
/case-study/athleteai,/case-study/athleteai,og:image,https://framerusercontent.com/images/G6FrxHO2dL9IcgUw5RwkUELN6g.png,https://spacedev.io/images/case-studies/athleteai/athleteai_.png,WARN
/case-study/blockchain-for-energy,/case-study/blockchain-for-energy,title,Blockchain For Energy (B4E),Blockchain For Energy (B4E): Hedera DLT Case Study,REVIEW
/case-study/blockchain-for-energy,/case-study/blockchain-for-energy,canonical,https://spacedev.io/case-study/blockchain-for-energy,https://spacedev.io/case-study/blockchain-for-energy/,INFO
/case-study/blockchain-for-energy,/case-study/blockchain-for-energy,og:title,Blockchain For Energy (B4E),Blockchain For Energy (B4E): Hedera DLT Case Study,WARN
/case-study/blockchain-for-energy,/case-study/blockchain-for-energy,og:image,https://framerusercontent.com/images/G6FrxHO2dL9IcgUw5RwkUELN6g.png,https://spacedev.io/images/case-studies/blockchain-for-energy/blockchain-for-energy_.png,WARN
/case-study/blockus,/case-study/blockus,title,Blockus,Blockus: Web3 Gaming Infrastructure & Wallet Integration,REVIEW
/case-study/blockus,/case-study/blockus,description,"Backed by a16z, Built for the Future of Web3 Gaming","SpaceDev built Blockus's Web3 gaming platform: NFT management API, instant wallets, gasless transactions, and Stripe payments for blockchain game economies.",REVIEW
/case-study/blockus,/case-study/blockus,canonical,https://spacedev.io/case-study/blockus,https://spacedev.io/case-study/blockus/,INFO
/case-study/blockus,/case-study/blockus,og:title,Blockus,Blockus: Web3 Gaming Infrastructure & Wallet Integration,WARN
/case-study/blockus,/case-study/blockus,og:description,"Backed by a16z, Built for the Future of Web3 Gaming","SpaceDev built Blockus's Web3 gaming platform: NFT management API, instant wallets, gasless transactions, and Stripe payments for blockchain game economies.",WARN
/case-study/blockus,/case-study/blockus,og:image,https://framerusercontent.com/images/G6FrxHO2dL9IcgUw5RwkUELN6g.png,https://spacedev.io/images/case-studies/blockus/blockus_.png,WARN
/case-study/bondi-finance,/case-study/bondi-finance,title,Bondi Finance,"Bondi Finance: Bond Tokenization on DeFi, Case Study",REVIEW
/case-study/bondi-finance,/case-study/bondi-finance,description,"Bridging traditional finance and Web3, making real-world assets accessible to all.","SpaceDev built Bondi Finance's smart contract infrastructure from scratch: KYC-gated bond tokenization, USDC funding, and NFT rewards bridging TradFi and DeFi.",REVIEW
/case-study/bondi-finance,/case-study/bondi-finance,canonical,https://spacedev.io/case-study/bondi-finance,https://spacedev.io/case-study/bondi-finance/,INFO
/case-study/bondi-finance,/case-study/bondi-finance,og:title,Bondi Finance,"Bondi Finance: Bond Tokenization on DeFi, Case Study",WARN
/case-study/bondi-finance,/case-study/bondi-finance,og:description,"Bridging traditional finance and Web3, making real-world assets accessible to all.","SpaceDev built Bondi Finance's smart contract infrastructure from scratch: KYC-gated bond tokenization, USDC funding, and NFT rewards bridging TradFi and DeFi.",WARN
/case-study/bondi-finance,/case-study/bondi-finance,og:image,https://framerusercontent.com/images/G6FrxHO2dL9IcgUw5RwkUELN6g.png,https://spacedev.io/images/case-studies/bondi-finance/bondi-finance_.png,WARN
/case-study/drata,/case-study/drata,title,Drata,Drata: Compliance Automation Platform Development,REVIEW
/case-study/drata,/case-study/drata,description,On a Mission to Build Trust Across the Cloud.,"SpaceDev partnered with Drata for 4+ years, rebuilding the cross-platform compliance Agent and Audit Hub powering automated security compliance in the cloud.",REVIEW
/case-study/drata,/case-study/drata,canonical,https://spacedev.io/case-study/drata,https://spacedev.io/case-study/drata/,INFO
/case-study/drata,/case-study/drata,og:title,Drata,Drata: Compliance Automation Platform Development,WARN
/case-study/drata,/case-study/drata,og:description,On a Mission to Build Trust Across the Cloud.,"SpaceDev partnered with Drata for 4+ years, rebuilding the cross-platform compliance Agent and Audit Hub powering automated security compliance in the cloud.",WARN
/case-study/drata,/case-study/drata,og:image,https://framerusercontent.com/images/G6FrxHO2dL9IcgUw5RwkUELN6g.png,https://spacedev.io/images/case-studies/drata/drata_.png,WARN
/case-study/fightfi,/case-study/fightfi,title,FightFI,FightFi: GameFi dApp Built on Aptos Blockchain,REVIEW
/case-study/fightfi,/case-study/fightfi,description,The ultimate fight-fan experience.,"SpaceDev built FightFI's gamified Web3 platform on Aptos: dApp development with NFT rewards, smart contracts, wallet auth, and real-time fan leaderboards.",REVIEW
/case-study/fightfi,/case-study/fightfi,canonical,https://spacedev.io/case-study/fightfi,https://spacedev.io/case-study/fightfi/,INFO
/case-study/fightfi,/case-study/fightfi,og:title,FightFI,FightFi: GameFi dApp Built on Aptos Blockchain,WARN
/case-study/fightfi,/case-study/fightfi,og:description,The ultimate fight-fan experience.,"SpaceDev built FightFI's gamified Web3 platform on Aptos: dApp development with NFT rewards, smart contracts, wallet auth, and real-time fan leaderboards.",WARN
/case-study/fightfi,/case-study/fightfi,og:image,https://framerusercontent.com/images/G6FrxHO2dL9IcgUw5RwkUELN6g.png,https://spacedev.io/images/case-studies/fightfi/fightfi_.png,WARN
/case-study/gallery,/case-study/gallery,title,Gallery,Gallery: NFT Art Marketplace Platform Development,REVIEW
/case-study/gallery,/case-study/gallery,description,The best way to showcase your (NFT) art.,"SpaceDev delivered Gallery's NFT platform in five months: Solidity smart contracts, NestJS API, and React frontend making crypto art easy to collect and trade.",REVIEW
/case-study/gallery,/case-study/gallery,canonical,https://spacedev.io/case-study/gallery,https://spacedev.io/case-study/gallery/,INFO
/case-study/gallery,/case-study/gallery,og:title,Gallery,Gallery: NFT Art Marketplace Platform Development,WARN
/case-study/gallery,/case-study/gallery,og:description,The best way to showcase your (NFT) art.,"SpaceDev delivered Gallery's NFT platform in five months: Solidity smart contracts, NestJS API, and React frontend making crypto art easy to collect and trade.",WARN
/case-study/gallery,/case-study/gallery,og:image,https://framerusercontent.com/images/G6FrxHO2dL9IcgUw5RwkUELN6g.png,https://spacedev.io/images/case-studies/gallery/gallery_.png,WARN
/case-study/genba,/case-study/genba,title,Genba,Genba: Factory Automation MVP Built for Manufacturing,REVIEW
/case-study/genba,/case-study/genba,description,Driving Innovation in Latin America through Automation.,"SpaceDev ran a discovery sprint and built Genba's Paretto palletizing platform in two months, letting factory operators configure robotic workflows code-free.",REVIEW
/case-study/genba,/case-study/genba,canonical,https://spacedev.io/case-study/genba,https://spacedev.io/case-study/genba/,INFO
/case-study/genba,/case-study/genba,og:title,Genba,Genba: Factory Automation MVP Built for Manufacturing,WARN
/case-study/genba,/case-study/genba,og:description,Driving Innovation in Latin America through Automation.,"SpaceDev ran a discovery sprint and built Genba's Paretto palletizing platform in two months, letting factory operators configure robotic workflows code-free.",WARN
/case-study/genba,/case-study/genba,og:image,https://framerusercontent.com/images/G6FrxHO2dL9IcgUw5RwkUELN6g.png,https://spacedev.io/images/case-studies/genba/genba_.png,WARN
/case-study/glowy-music,/case-study/glowy-music,title,Glowy Music,Glowy Music: Web2 Streaming Platform Development,REVIEW
/case-study/glowy-music,/case-study/glowy-music,description,Enjoy music and connect with your favorite artists.,"Connecting music fans with artists, events, and the industry they love.",REVIEW
/case-study/glowy-music,/case-study/glowy-music,canonical,https://spacedev.io/case-study/glowy-music,https://spacedev.io/case-study/glowy-music/,INFO
/case-study/glowy-music,/case-study/glowy-music,og:title,Glowy Music,Glowy Music: Web2 Streaming Platform Development,WARN
/case-study/glowy-music,/case-study/glowy-music,og:description,Enjoy music and connect with your favorite artists.,"Connecting music fans with artists, events, and the industry they love.",WARN
/case-study/glowy-music,/case-study/glowy-music,og:image,https://framerusercontent.com/images/G6FrxHO2dL9IcgUw5RwkUELN6g.png,https://spacedev.io/images/case-studies/glowy-music/glowy-music_.webp,WARN
/case-study/iaffirm,/case-study/iaffirm,title,iAffirm,iAffirm: AI Mental Wellness Web App Development,REVIEW
/case-study/iaffirm,/case-study/iaffirm,description,Tap into the potential of your subconscious mind with this cutting-edge platform.,"SpaceDev built iAffirm's AI integration and product foundation: personalized affirmations, visualizations, and guided meditations with Python and Nest.js.",REVIEW
/case-study/iaffirm,/case-study/iaffirm,canonical,https://spacedev.io/case-study/iaffirm,https://spacedev.io/case-study/iaffirm/,INFO
